,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
180,Warrington,GB,53.3925,-2.5802,43.45,74,75,35.68,broken clouds
181,Port-Gentil,GA,-0.7193,8.7815,81.59,74,100,7.27,overcast clouds
182,Haines Junction,CA,60.7522,-137.5108,6.98,96,100,1.72,overcast clouds
183,Ossora,RU,59.2353,163.0719,-7.74,75,99,3.09,overcast clouds
184,Husavik,IS,66.0449,-17.3389,25.29,87,29,9.01,scattered clouds
185,Ambagarh Chauki,IN,20.7833,80.7167,64.99,30,12,0.67,few clouds
186,Dunedin,NZ,-45.8742,170.5036,63.81,73,8,18.01,clear sky
187,Yilan,TW,24.757,121.753,55.56,94,100,7.18,overcast clouds
188,Trelew,AR,-43.249,-65.3051,55.38,66,95,21.34,overcast clouds
189,Guilin,CN,25.2819,110.2864,36.43,88,100,5.82,overcast clouds
190,Provideniya,RU,64.3833,-173.3,5.36,72,100,22.37,light snow
191,Talnakh,RU,69.4865,88.3972,18.21,93,100,14.54,light snow
192,Bereda,ES,43.2686,-7.5406,46.0,100,93,2.17,overcast clouds
193,Tromso,NO,69.6496,18.957,12.22,73,0,5.75,clear sky
194,Airai,TL,-8.9266,125.4092,71.2,66,100,2.17,overcast clouds
195,Clyde River,CA,70.4692,-68.5914,-24.63,94,88,3.8,overcast clouds
196,Manaus,BR,-3.1019,-60.025,79.29,89,0,3.44,clear sky
197,Shebalino,RU,51.2917,85.6772,12.78,81,1,6.76,clear sky
198,Zharkent,KZ,44.1628,80.0,23.25,59,0,2.77,clear sky
199,Puerto Ayora,EC,-0.7393,-90.3518,77.56,92,42,3.0,scattered clouds
200,Manta,EC,-0.95,-80.7333,75.67,86,46,4.7,scattered clouds
201,Sioux Lookout,CA,50.1001,-91.917,-9.67,90,99,7.2,overcast clouds
202,Bilma,NE,18.6853,12.9164,61.65,18,2,5.06,clear sky
203,Oranjemund,NA,-28.55,16.4333,61.83,88,0,8.37,clear sky
204,Port Hardy,CA,50.6996,-127.4199,40.75,79,94,16.91,light rain
205,Richards Bay,ZA,-28.783,32.0377,74.59,82,73,10.22,broken clouds
206,Andros Town,BS,24.7,-77.7667,74.32,78,23,18.1,few clouds
207,Bubaque,GW,11.2833,-15.8333,76.77,70,7,10.22,clear sky
208,Gamba,GA,-2.65,10.0,78.21,84,100,5.06,light rain
209,Sur,OM,22.5667,59.5289,71.2,44,45,4.61,scattered clouds
210,Alekseyevka,RU,50.6309,38.6903,30.65,93,100,6.02,overcast clouds
211,Maine-Soroa,NE,13.2114,12.0241,62.37,21,0,10.29,clear sky
212,Fuling,CN,29.7022,107.3919,42.82,74,100,1.86,overcast clouds
213,Saint-Leu,RE,-21.15,55.2833,79.66,76,100,16.13,light rain
214,Strandby,DK,57.4915,10.4961,41.02,99,100,9.62,light rain
215,Kruisfontein,ZA,-34.0033,24.7314,60.19,80,0,5.44,clear sky
216,Portland,US,45.5234,-122.6762,45.43,80,82,8.99,broken clouds
217,College,US,64.8569,-147.8028,11.21,70,100,2.46,overcast clouds
218,Soto La Marina,MX,23.7667,-98.2167,66.78,96,1,5.14,clear sky
219,Masuguru,TZ,-11.3667,38.4167,71.8,96,100,1.12,light rain
220,Olafsvik,IS,64.8945,-23.7142,32.61,78,18,11.88,few clouds
221,Bara,NG,10.3744,10.7288,64.89,24,22,6.93,few clouds
222,Gazojak,TM,41.1875,61.4036,45.01,47,0,8.72,clear sky
223,Rio Grande,BR,-32.035,-52.0986,73.51,81,100,11.68,overcast clouds
224,Chesma,RU,53.8111,60.6533,26.02,90,100,13.78,overcast clouds
225,Lahat,ID,-3.8,103.5333,81.59,74,99,2.01,overcast clouds
226,Atar,MR,20.5169,-13.0499,66.13,32,99,11.88,overcast clouds
227,Anito,PH,12.4497,125.2886,78.08,88,100,11.81,overcast clouds
